model_no,sel_coverage,sel_risk,sel_accuracy,sr_coverage,sr_risk,sr_accuracy
0.0,0.4997655883731833,0.02908067542213888,0.9709193245778611,0.49929676511954996,0.014084507042253502,0.9859154929577465
0.0,0.549929676511955,0.03495311167945436,0.9650468883205456,0.5494608532583216,0.019624573378839605,0.9803754266211604
0.0,0.6000937646507267,0.042187500000000044,0.9578125,0.5991561181434599,0.027386541471048464,0.9726134585289515
0.0,0.6497890295358649,0.04761904761904767,0.9523809523809523,0.6493202062822316,0.034657039711191384,0.9653429602888086
0.0,0.6999531176746366,0.05894172806430009,0.9410582719356999,0.6994842944210032,0.038203753351206404,0.9617962466487936
0.0,0.749648382559775,0.06691682301438395,0.933083176985616,0.7491795593061416,0.052565707133917394,0.9474342928660826
0.0,0.7998124706985467,0.07502930832356391,0.9249706916764361,0.7993436474449133,0.06510263929618765,0.9348973607038124
0.0,0.8499765588373184,0.0865968008825152,0.9134031991174848,0.849507735583685,0.07726269315673284,0.9227373068432672
0.0,0.8996718237224567,0.09692548202188644,0.9030745179781136,0.8992030004688233,0.09332638164754958,0.9066736183524504
0.0,0.9498359118612283,0.11006910167818362,0.8899308983218164,0.9493670886075949,0.10370370370370374,0.8962962962962963
0.0,0.9995311767463666,0.12148217636022518,0.8785178236397748,0.9995311767463666,0.12148217636022518,0.8785178236397748
1.0,0.4997655883731833,0.022514071294559068,0.9774859287054409,0.49929676511954996,0.019718309859154903,0.9802816901408451
1.0,0.549929676511955,0.03069053708439895,0.969309462915601,0.5494608532583216,0.025597269624573427,0.9744027303754266
1.0,0.6000937646507267,0.039843749999999956,0.96015625,0.5991561181434599,0.031298904538341166,0.9687010954616588
1.0,0.6497890295358649,0.04834054834054835,0.9516594516594516,0.6493202062822316,0.03754512635379059,0.9624548736462094
1.0,0.6999531176746366,0.05961152042866713,0.9403884795713329,0.6994842944210032,0.04289544235924936,0.9571045576407506
1.0,0.749648382559775,0.07191994996873041,0.9280800500312696,0.7491795593061416,0.048185231539424334,0.9518147684605757
1.0,0.7998124706985467,0.07913247362250875,0.9208675263774913,0.7993436474449133,0.058651026392961825,0.9413489736070382
1.0,0.8499765588373184,0.09100937672366238,0.9089906232763376,0.849507735583685,0.07008830022075052,0.9299116997792495
1.0,0.8996718237224567,0.09953100573215212,0.9004689942678479,0.8992030004688233,0.0886339937434828,0.9113660062565172
1.0,0.9498359118612283,0.1120434353405726,0.8879565646594274,0.9493670886075949,0.10518518518518516,0.8948148148148148
1.0,0.9995311767463666,0.12429643527204504,0.875703564727955,0.9995311767463666,0.12476547842401498,0.875234521575985
2.0,0.4997655883731833,0.0206378986866792,0.9793621013133208,0.49929676511954996,0.009389671361502372,0.9906103286384976
2.0,0.549929676511955,0.024722932651321416,0.9752770673486786,0.5494608532583216,0.014505119453924964,0.985494880546075
2.0,0.6000937646507267,0.030468750000000044,0.96953125,0.5991561181434599,0.019561815336463173,0.9804381846635368
2.0,0.6497890295358649,0.038239538239538184,0.9617604617604618,0.6493202062822316,0.031768953068592065,0.9682310469314079
