model_no,auxilary_head_accuracy,selective_head_accuracy,selective_head_selective_acc,loss,auxilary_head_loss,selective_head_loss,auxilary_head_coverage,selective_head_coverage,val_auxilary_head_accuracy,val_selective_head_accuracy,val_selective_head_selective_acc,val_loss,val_auxilary_head_loss,val_selective_head_loss,val_auxilary_head_coverage,val_selective_head_coverage
0.0,0.7531479001045227,0.6266471743583679,0.5716840624809265,0.5544528961181641,0.6168156862258911,0.4920904040336609,0.415164053440094,0.9842289686203003,0.6101218461990356,0.3547329008579254,0.9710820913314819,0.5936057567596436,0.725680410861969,0.4615311324596405,0.01933514140546322,1.0
0.0,0.8245973587036133,0.7475841641426086,0.6203525066375732,0.3350435495376587,0.40449804067611694,0.2655891180038452,0.3753301799297333,1.0,0.6921274662017822,0.5988753437995911,0.8881444931030273,0.503212034702301,0.6050458550453186,0.4013783931732178,0.10159429907798767,1.0
0.0,0.8635432124137878,0.804392397403717,0.6210508942604065,0.2677772641181946,0.3275809586048126,0.20797358453273773,0.383914053440094,1.0,0.7502343058586121,0.6508903503417969,0.788882315158844,0.45015448331832886,0.5416922569274902,0.3586166799068451,0.1957259178161621,1.0
0.0,0.8942899107933044,0.8500732183456421,0.6219270825386047,0.20916996896266937,0.2568247616291046,0.16151496767997742,0.3811712861061096,1.0,0.8233364820480347,0.7567947506904602,0.6679952144622803,0.3695681095123291,0.4414180815219879,0.29771798849105835,0.3362025022506714,1.0
0.0,0.9180088043212891,0.89341139793396,0.6122998595237732,0.16332830488681793,0.20265214145183563,0.12400457262992859,0.3873044550418854,0.9988317489624023,0.8223992586135864,0.7881911993026733,0.6952170729637146,0.43265900015830994,0.520625650882721,0.3446924686431885,0.3131784200668335,1.0
0.0,0.8099560737609863,0.7575402855873108,0.6386775374412537,0.34856274724006653,0.43208616971969604,0.26503899693489075,0.3614257276058197,0.9928763508796692,0.8167760372161865,0.753045916557312,0.7087118625640869,0.33086568117141724,0.4039466977119446,0.2577846944332123,0.2819708287715912,0.9972015023231506
0.0,0.8679355978965759,0.8366032242774963,0.6290557980537415,0.24735136330127716,0.31141626834869385,0.18328633904457092,0.3767269551753998,0.97137850522995,0.8453608155250549,0.8092783689498901,0.6229729652404785,0.2867705523967743,0.35356396436691284,0.21997718513011932,0.3921302556991577,0.9552662372589111
0.0,0.906002938747406,0.8898975253105164,0.6304649710655212,0.18495914340019226,0.23610560595989227,0.13381265103816986,0.38139984011650085,0.9231384992599487,0.8580130934715271,0.8322399258613586,0.648777961730957,0.32997921109199524,0.40542101860046387,0.2545374929904938,0.34014585614204407,0.9464043378829956
0.0,0.9311859607696533,0.9188872575759888,0.6205653548240662,0.13393095135688782,0.17275968194007874,0.09510228037834167,0.38490453362464905,0.8962693214416504,0.8491096496582031,0.8322399258613586,0.6644659638404846,0.42998960614204407,0.5339260697364807,0.32605311274528503,0.33323439955711365,0.9188857078552246
0.0,0.9379209280014038,0.9265007376670837,0.6201881170272827,0.12005306035280228,0.15694309771060944,0.08316303044557571,0.3892853558063507,0.8762952089309692,0.8298969268798828,0.8158388137817383,0.6018935441970825,0.3995225429534912,0.4993301033973694,0.2997147738933563,0.4401713013648987,0.8624491095542908
0.0,0.8269400000572205,0.7809663414955139,0.6350013613700867,0.3162268400192261,0.3962690532207489,0.23618456721305847,0.36655575037002563,0.9322429895401001,0.8008434772491455,0.7310215830802917,0.7333167791366577,0.3786715865135193,0.45156970620155334,0.30577361583709717,0.2594979703426361,0.9846082329750061
0.0,0.872327983379364,0.852122962474823,0.6364396810531616,0.22939123213291168,0.29403695464134216,0.16474543511867523,0.3673303425312042,0.8847648501396179,0.8439550399780273,0.8130272030830383,0.6893171668052673,0.3243671655654907,0.37060320377349854,0.2781311869621277,0.3272981643676758,0.9218961596488953
0.0,0.8966324925422668,0.8828697204589844,0.6227964758872986,0.1827237755060196,0.2376125603914261,0.12783490121364594,0.3811712861061096,0.8323090672492981,0.848641037940979,0.8369259834289551,0.6051192283630371,0.30891987681388855,0.37445101141929626,0.24338863790035248,0.4017130136489868,0.8298422694206238
0.0,0.9317715764045715,0.9194729328155518,0.6254639029502869,0.13326500356197357,0.17623628675937653,0.09029368311166763,0.3895774185657501,0.8064938187599182,0.8223992586135864,0.8008434772491455,0.5866347551345825,0.4184800088405609,0.47325974702835083,0.3637002110481262,0.45178934931755066,0.7482615113258362
0.0,0.9332357048988342,0.9262079000473022,0.6222456693649292,0.12239807099103928,0.16231928765773773,0.08247692883014679,0.3982883095741272,0.8003606200218201,0.8552014827728271,0.8402062058448792,0.6255985498428345,0.3622921407222748,0.44948115944862366,0.27510324120521545,0.3839891254901886,0.8457004427909851
0.0,0.833674967288971,0.7959004640579224,0.6315372586250305,0.3067041337490082,0.3892879784107208,0.2241203933954239,0.37620633840560913,0.7621647715568542,0.8556700944900513,0.8045923113822937,0.6011399626731873,0.27525120973587036,0.33736804127693176,0.21313436329364777,0.4079884886741638,0.8175033926963806
0.0,0.8857979774475098,0.872327983379364,0.6286705136299133,0.20021988451480865,0.2663428783416748,0.13409695029258728,0.380523681640625,0.7563871741294861,0.8528584837913513,0.8355201482772827,0.6614035367965698,0.29690712690353394,0.35325029492378235,0.24056388437747955,0.34837180376052856,0.7669606804847717
0.0,0.9142020344734192,0.906002938747406,0.6511574387550354,0.15727873146533966,0.21357573568820953,0.10098181664943695,0.39016154408454895,0.7593584656715393,0.8636363744735718,0.8519212603569031,0.6431012749671936,0.28913262486457825,0.3522692918777466,0.22599603235721588,0.3972608745098114,0.7650949954986572
0.0,0.9364567995071411,0.9346998333930969,0.6535646915435791,0.11598905175924301,0.15994636714458466,0.07203172892332077,0.39179956912994385,0.7554474472999573,0.8523898720741272,0.8434864282608032,0.6913563013076782,0.40931427478790283,0.49600210785865784,0.32262635231018066,0.3245844841003418,0.8091502785682678
0.0,0.8570175170898438,0.8418128490447998,0.6368274688720703,0.24886441230773926,0.3248399496078491,0.17288905382156372,0.3731224834918976,0.7546311616897583,0.8477038145065308,0.8444235920906067,0.6809645891189575,0.31014665961265564,0.34984254837036133,0.2704507112503052,0.29380089044570923,0.7772218585014343
0.0,0.8850877285003662,0.8783625960350037,0.6402285695075989,0.19695623219013214,0.26181501150131226,0.13209739327430725,0.37666887044906616,0.7537133097648621,0.8748828768730164,0.8664479851722717,0.637449324131012,0.24697135388851166,0.2978929877281189,0.19604970514774323,0.37839213013648987,0.7678510546684265
0.0,0.9119883179664612,0.9049707651138306,0.6400352716445923,0.15474654734134674,0.21147289872169495,0.09802025556564331,0.3888935148715973,0.7482476830482483,0.8664479851722717,0.8575445413589478,0.6438615918159485,0.2793152630329132,0.34521225094795227,0.21341834962368011,0.34294435381889343,0.8000339269638062
0.0,0.9309941530227661,0.9225146174430847,0.6318991184234619,0.12378145009279251,0.17187289893627167,0.07569009065628052,0.3843874931335449,0.7456191778182983,0.8650421500205994,0.854732871055603,0.6292261481285095,0.2943110466003418,0.3669698238372803,0.2216523140668869,0.40705564618110657,0.7553002238273621
0.0,0.9426900744438171,0.9423976540565491,0.6318290829658508,0.09906496107578278,0.1397678554058075,0.05836202949285507,0.39736315608024597,0.7562165856361389,0.8631677627563477,0.861293375492096,0.6402606964111328,0.32023268938064575,0.3786868453025818,0.26177850365638733,0.3630003333091736,0.7203188538551331
