model_no,sel_coverage,sel_risk,sel_accuracy,sr_coverage,sr_risk,sr_accuracy
0.0,0.5,0.06796628029504737,0.9320337197049526,0.49973656480505796,0.04269899841855562,0.9573010015814444
0.0,0.5500526870389885,0.0818965517241379,0.9181034482758621,0.5495258166491043,0.0508149568552253,0.9491850431447747
0.0,0.5998419388830347,0.09486166007905139,0.9051383399209486,0.5995785036880927,0.061950790861159954,0.93804920913884
0.0,0.6498946259220232,0.10498581272800978,0.8950141872719902,0.6496311907270811,0.07015409570154096,0.929845904298459
0.0,0.6999473129610115,0.1159202107640196,0.8840797892359804,0.6996838777660696,0.07906626506024095,0.920933734939759
0.0,0.75,0.12644889357218125,0.8735511064278187,0.7497365648050579,0.09416725228390721,0.9058327477160928
0.0,0.7997892518440464,0.1393280632411067,0.8606719367588933,0.7995258166491043,0.11169686985172977,0.8883031301482702
0.0,0.8498419388830347,0.1522008679479231,0.8477991320520769,0.8495785036880927,0.12930232558139532,0.8706976744186047
0.0,0.8998946259220232,0.1598360655737705,0.8401639344262295,0.8996311907270811,0.14787701317715962,0.8521229868228404
0.0,0.9499473129610115,0.1760953965612867,0.8239046034387133,0.9496838777660696,0.165880721220527,0.834119278779473
0.0,0.9997365648050579,0.18761528326745713,0.8123847167325429,0.9997365648050579,0.1873517786561265,0.8126482213438735
1.0,0.5,0.07428872497365646,0.9257112750263435,0.49973656480505796,0.044280442804428,0.955719557195572
1.0,0.5500526870389885,0.08381226053639845,0.9161877394636015,0.5495258166491043,0.04889741131351866,0.9511025886864813
1.0,0.5998419388830347,0.09398331137461569,0.9060166886253843,0.5995785036880927,0.06019332161687174,0.9398066783831283
1.0,0.6498946259220232,0.10417511147142278,0.8958248885285772,0.6496311907270811,0.07055961070559613,0.9294403892944039
1.0,0.6999473129610115,0.11328566051938271,0.8867143394806173,0.6996838777660696,0.08471385542168675,0.9152861445783133
1.0,0.75,0.12469265893923431,0.8753073410607657,0.7497365648050579,0.09978917779339425,0.9002108222066058
1.0,0.7997892518440464,0.13735177865612647,0.8626482213438735,0.7995258166491043,0.11598023064250407,0.8840197693574959
1.0,0.8498419388830347,0.14910105393676376,0.8508989460632362,0.8495785036880927,0.13364341085271314,0.8663565891472869
1.0,0.8998946259220232,0.1633489461358314,0.8366510538641686,0.8996311907270811,0.15431918008784773,0.8456808199121523
1.0,0.9499473129610115,0.17914586799778143,0.8208541320022186,0.9496838777660696,0.1719833564493759,0.8280166435506241
1.0,0.9997365648050579,0.19183135704874832,0.8081686429512517,0.9997365648050579,0.19183135704874832,0.8081686429512517
2.0,0.5,0.07744994731296106,0.9225500526870389,0.49973656480505796,0.046389035318924576,0.9536109646810754
2.0,0.5500526870389885,0.08955938697318011,0.9104406130268199,0.5495258166491043,0.05321188878235861,0.9467881112176414
2.0,0.5998419388830347,0.1018884497145367,0.8981115502854633,0.5995785036880927,0.062390158172232035,0.937609841827768
2.0,0.6498946259220232,0.11511957843534659,0.8848804215646534,0.6496311907270811,0.07542579075425793,0.9245742092457421
2.0,0.6999473129610115,0.12532931878057962,0.8746706812194204,0.6996838777660696,0.08960843373493976,0.9103915662650602
2.0,0.75,0.13312258517737974,0.8668774148226203,0.7497365648050579,0.10295151089248067,0.8970484891075193
2.0,0.7997892518440464,0.14163372859025036,0.8583662714097496,0.7995258166491043,0.11565074135090614,0.8843492586490939
2.0,0.8498419388830347,0.15375077495350276,0.8462492250464972,0.8495785036880927,0.1333333333333333,0.8666666666666667
2.0,0.8998946259220232,0.16627634660421542,0.8337236533957846,0.8996311907270811,0.1528550512445095,0.8471449487554905
2.0,0.9499473129610115,0.18080976150859673,0.8191902384914033,0.9496838777660696,0.17087378640776696,0.829126213592233
2.0,0.9997365648050579,0.1915678524374177,0.8084321475625823,0.9997365648050579,0.19130434782608696,0.808695652173913
3.0,0.5,0.08166491043203372,0.9183350895679663,0.49973656480505796,0.04849762783342115,0.9515023721665788
3.0,0.5500526870389885,0.09482758620689657,0.9051724137931034,0.5495258166491043,0.05512943432406525,0.9448705656759347
3.0,0.5998419388830347,0.10847606499780416,0.8915239350021958,0.5995785036880927,0.06458699472759222,0.9354130052724078
3.0,0.6498946259220232,0.12079448723145525,0.8792055127685448,0.6496311907270811,0.0758313057583131,0.9241686942416869
3.0,0.6999473129610115,0.1336093338351524,0.8663906661648476,0.6996838777660696,0.08772590361445787,0.9122740963855421
3.0,0.75,0.14260625219529333,0.8573937478047067,0.7497365648050579,0.10260014054813771,0.8973998594518623
3.0,0.7997892518440464,0.15316205533596838,0.8468379446640316,0.7995258166491043,0.12026359143327847,0.8797364085667215
3.0,0.8498419388830347,0.16491010539367634,0.8350898946063237,0.8495785036880927,0.13519379844961243,0.8648062015503876
3.0,0.8998946259220232,0.172423887587822,0.827576112412178,0.8996311907270811,0.1540263543191801,0.8459736456808199
3.0,0.9499473129610115,0.18580144204104265,0.8141985579589573,0.9496838777660696,0.1753120665742025,0.8246879334257975
3.0,0.9997365648050579,0.19894598155467724,0.8010540184453228,0.9997365648050579,0.1986824769433465,0.8013175230566535
4.0,0.5,0.07850368809272923,0.9214963119072708,0.49973656480505796,0.03373748023194523,0.9662625197680548
4.0,0.5500526870389885,0.08860153256704983,0.9113984674329502,0.5495258166491043,0.04170661553211885,0.9582933844678811
4.0,0.5998419388830347,0.09661835748792269,0.9033816425120773,0.5995785036880927,0.05140597539543057,0.9485940246045694
4.0,0.6498946259220232,0.10782326712606405,0.892176732873936,0.6496311907270811,0.06285482562854827,0.9371451743714517
4.0,0.6999473129610115,0.12043658261196843,0.8795634173880316,0.6996838777660696,0.07228915662650603,0.927710843373494
4.0,0.75,0.13242009132420096,0.867579908675799,0.7497365648050579,0.08784258608573436,0.9121574139142656
4.0,0.7997892518440464,0.1445981554677207,0.8554018445322793,0.7995258166491043,0.10115321252059306,0.8988467874794069
4.0,0.8498419388830347,0.1531308121512709,0.8468691878487291,0.8495785036880927,0.11751937984496119,0.8824806201550388
4.0,0.8998946259220232,0.16539812646370022,0.8346018735362998,0.8996311907270811,0.13850658857979503,0.861493411420205
4.0,0.9499473129610115,0.17332224070992786,0.8266777592900721,0.9496838777660696,0.1578363384188627,0.8421636615811373
4.0,0.9997365648050579,0.18181818181818177,0.8181818181818182,0.9997365648050579,0.18155467720685114,0.8184453227931489
5.0,0.5,0.08166491043203372,0.9183350895679663,0.49973656480505796,0.040063257775434846,0.9599367422245652
5.0,0.5500526870389885,0.09099616858237547,0.9090038314176245,0.5495258166491043,0.04889741131351866,0.9511025886864813
5.0,0.5998419388830347,0.10057092665788314,0.8994290733421169,0.5995785036880927,0.055360281195079075,0.9446397188049209
5.0,0.6498946259220232,0.10741791649777055,0.8925820835022295,0.6496311907270811,0.06650446066504456,0.9334955393349554
5.0,0.6999473129610115,0.1166729394053444,0.8833270605946556,0.6996838777660696,0.0768072289156626,0.9231927710843374
5.0,0.75,0.1278538812785388,0.8721461187214612,0.7497365648050579,0.0874912157413914,0.9125087842586086
5.0,0.7997892518440464,0.13603425559947302,0.863965744400527,0.7995258166491043,0.10247116968698522,0.8975288303130148
5.0,0.8498419388830347,0.14600123992560443,0.8539987600743956,0.8495785036880927,0.11937984496124032,0.8806201550387597
5.0,0.8998946259220232,0.16042154566744726,0.8395784543325527,0.8996311907270811,0.13997071742313327,0.8600292825768667
5.0,0.9499473129610115,0.17027176927343313,0.8297282307265669,0.9496838777660696,0.16033287101248261,0.8396671289875174
