model_no,sel_coverage,sel_risk,sel_accuracy,sr_coverage,sr_risk,sr_accuracy
0.0,0.4998828765518857,0.02108716026241797,0.978912839737582,0.4991801358631998,0.02064758329422811,0.9793524167057719
0.0,0.5500117123448114,0.02640545144804085,0.9735945485519591,0.5495432185523542,0.026001705029838007,0.973998294970162
0.0,0.5999063012415086,0.02655212807497076,0.9734478719250292,0.5996720543452799,0.03164062499999998,0.968359375
0.0,0.6500351370344343,0.031351351351351364,0.9686486486486486,0.649566643241977,0.03317706455102776,0.9668229354489722
0.0,0.6999297259311315,0.03380187416331992,0.9661981258366801,0.6996954790349028,0.03515232674924673,0.9648476732507533
0.0,0.7500585617240572,0.038413491567770186,0.9615865084322298,0.7495900679315999,0.03874999999999995,0.96125
0.0,0.7999531506207542,0.045680819912152226,0.9543191800878478,0.7997189037245257,0.04481546572934969,0.9551845342706503
0.0,0.8498477395174514,0.05402425578831316,0.9459757442116868,0.8496134926212228,0.053212020953956385,0.9467879790460436
0.0,0.8999765753103771,0.06507027589796976,0.9349297241020302,0.8997423284141485,0.06326477479822967,0.9367352252017703
0.0,0.9498711642070743,0.0794081381011097,0.9205918618988903,0.9496369173108457,0.07770103601381351,0.9222989639861865
0.0,0.9997657531037714,0.09442361761949392,0.9055763823805061,0.9997657531037714,0.09442361761949392,0.9055763823805061
1.0,0.4998828765518857,0.02014995313964385,0.9798500468603561,0.49941438275942845,0.018761726078799223,0.9812382739212008
1.0,0.5500117123448114,0.022998296422487186,0.9770017035775128,0.5495432185523542,0.022591645353793655,0.9774083546462063
1.0,0.5999063012415086,0.024209293244826235,0.9757907067551738,0.5996720543452799,0.024609375000000044,0.975390625
1.0,0.6500351370344343,0.029189189189189224,0.9708108108108108,0.649566643241977,0.02848900108186081,0.9715109989181392
1.0,0.6999297259311315,0.03279785809906288,0.9672021419009371,0.6996954790349028,0.03448275862068961,0.9655172413793104
1.0,0.7500585617240572,0.04184884447220483,0.9581511555277952,0.7495900679315999,0.040000000000000036,0.96
1.0,0.7999531506207542,0.05007320644216695,0.949926793557833,0.7997189037245257,0.04715875805506742,0.9528412419449326
1.0,0.8498477395174514,0.0614663726571113,0.9385336273428887,0.8496134926212228,0.05927763992280122,0.9407223600771988
1.0,0.8999765753103771,0.07209786569495058,0.9279021343050494,0.8997423284141485,0.07055454308773756,0.9294454569122624
1.0,0.9498711642070743,0.08680641183723803,0.913193588162762,0.9496369173108457,0.08682782437099157,0.9131721756290084
1.0,0.9997657531037714,0.10051546391752575,0.8994845360824743,0.9997657531037714,0.10613870665417058,0.8938612933458294
