model_no,sel_coverage,sel_risk,sel_accuracy,sr_coverage,sr_risk,sr_accuracy
0.0,0.5,0.0853530031612223,0.9146469968387777,0.49973656480505796,0.040590405904059046,0.959409594095941
0.0,0.5500526870389885,0.09530651340996166,0.9046934865900383,0.5495258166491043,0.047459252157238785,0.9525407478427612
0.0,0.5998419388830347,0.10891523935002201,0.891084760649978,0.5995785036880927,0.05667838312829521,0.9433216168717048
0.0,0.6498946259220232,0.11511957843534659,0.8848804215646534,0.6496311907270811,0.0685320356853204,0.9314679643146796
0.0,0.6999473129610115,0.12495295445991716,0.8750470455400828,0.6996838777660696,0.08433734939759041,0.9156626506024096
0.0,0.75,0.13558131366350545,0.8644186863364945,0.7497365648050579,0.09978917779339425,0.9002108222066058
0.0,0.8000526870389885,0.1468554494567007,0.8531445505432993,0.7995258166491043,0.11663920922570015,0.8833607907742999
0.0,0.8498419388830347,0.15840049597024175,0.8415995040297582,0.8495785036880927,0.1358139534883721,0.8641860465116279
0.0,0.8998946259220232,0.17388758782201408,0.8261124121779859,0.8996311907270811,0.1560761346998536,0.8439238653001464
0.0,0.9499473129610115,0.19134775374376045,0.8086522462562395,0.9496838777660696,0.17586685159500692,0.8241331484049931
0.0,0.9997365648050579,0.2021080368906456,0.7978919631093544,0.9997365648050579,0.1986824769433465,0.8013175230566535
1.0,0.5,0.08166491043203372,0.9183350895679663,0.49973656480505796,0.046389035318924576,0.9536109646810754
1.0,0.5500526870389885,0.09434865900383138,0.9056513409961686,0.5495258166491043,0.0556088207094918,0.9443911792905082
1.0,0.5998419388830347,0.103645147123408,0.896354852876592,0.5995785036880927,0.062829525483304,0.937170474516696
1.0,0.6498946259220232,0.1134981759221727,0.8865018240778273,0.6496311907270811,0.07137064071370636,0.9286293592862936
1.0,0.6999473129610115,0.12382386149793001,0.87617613850207,0.6996838777660696,0.08960843373493976,0.9103915662650602
1.0,0.75,0.13277133825079035,0.8672286617492097,0.7497365648050579,0.1018973998594519,0.8981026001405481
1.0,0.8000526870389885,0.1448798156075074,0.8551201843924926,0.7995258166491043,0.11696869851729819,0.8830313014827018
1.0,0.8498419388830347,0.15964042157470548,0.8403595784252945,0.8495785036880927,0.13519379844961243,0.8648062015503876
1.0,0.8998946259220232,0.17564402810304447,0.8243559718969555,0.8996311907270811,0.15168374816983898,0.848316251830161
1.0,0.9499473129610115,0.19079312257348868,0.8092068774265113,0.9496838777660696,0.17503467406380024,0.8249653259361998
1.0,0.9997365648050579,0.20052700922266142,0.7994729907773386,0.9997365648050579,0.19736495388669306,0.8026350461133069
2.0,0.5,0.0885142255005269,0.9114857744994731,0.49973656480505796,0.047443331576172865,0.9525566684238271
2.0,0.5500526870389885,0.10105363984674332,0.8989463601532567,0.5495258166491043,0.056567593480345124,0.9434324065196549
2.0,0.5998419388830347,0.1115502854633289,0.8884497145366711,0.5995785036880927,0.06722319859402459,0.9327768014059754
2.0,0.6498946259220232,0.11998378597486825,0.8800162140251317,0.6496311907270811,0.07907542579075422,0.9209245742092458
2.0,0.6999473129610115,0.13172751223184043,0.8682724877681596,0.6996838777660696,0.09375,0.90625
2.0,0.75,0.13593256059009484,0.8640674394099052,0.7497365648050579,0.10716795502459597,0.892832044975404
2.0,0.8000526870389885,0.1468554494567007,0.8531445505432993,0.7995258166491043,0.12289950576606257,0.8771004942339374
2.0,0.8498419388830347,0.16119032858028515,0.8388096714197149,0.8495785036880927,0.14387596899224808,0.8561240310077519
2.0,0.8998946259220232,0.17388758782201408,0.8261124121779859,0.8996311907270811,0.1633967789165447,0.8366032210834553
2.0,0.9499473129610115,0.18829728230726572,0.8117027176927343,0.9496838777660696,0.18224687933425798,0.817753120665742
2.0,0.9997365648050579,0.19841897233201577,0.8015810276679842,0.9997365648050579,0.2047430830039526,0.7952569169960474
3.0,0.5,0.08640674394099057,0.9135932560590094,0.49973656480505796,0.03900896151818656,0.9609910384818134
3.0,0.5500526870389885,0.09722222222222221,0.9027777777777778,0.5495258166491043,0.05512943432406525,0.9448705656759347
3.0,0.5998419388830347,0.1080368906455863,0.8919631093544137,0.5995785036880927,0.06722319859402459,0.9327768014059754
3.0,0.6498946259220232,0.11917308471828136,0.8808269152817186,0.6496311907270811,0.08110300081103006,0.9188969991889699
3.0,0.6999473129610115,0.1287165976665412,0.8712834023334588,0.6996838777660696,0.0899849397590361,0.9100150602409639
3.0,0.75,0.13663505444327362,0.8633649455567264,0.7497365648050579,0.10505973295853832,0.8949402670414617
3.0,0.7997892518440464,0.14920948616600793,0.8507905138339921,0.7995258166491043,0.11861614497528827,0.8813838550247117
3.0,0.8498419388830347,0.15995040297582142,0.8400495970241786,0.8495785036880927,0.13302325581395347,0.8669767441860465
3.0,0.8998946259220232,0.17271662763466045,0.8272833723653396,0.8996311907270811,0.15168374816983898,0.848316251830161
3.0,0.9499473129610115,0.18441486411536323,0.8155851358846368,0.9496838777660696,0.17226074895977805,0.827739251040222
3.0,0.9997365648050579,0.19736495388669306,0.8026350461133069,0.9997365648050579,0.1952569169960474,0.8047430830039526
4.0,0.5,0.09905163329820865,0.9009483667017913,0.49973656480505796,0.04849762783342115,0.9515023721665788
4.0,0.5500526870389885,0.10727969348659006,0.89272030651341,0.5495258166491043,0.061840843720038396,0.9381591562799616
4.0,0.5998419388830347,0.11769872639437862,0.8823012736056214,0.5995785036880927,0.0711775043936731,0.9288224956063269
4.0,0.6498946259220232,0.1256586947709769,0.8743413052290231,0.6496311907270811,0.07907542579075422,0.9209245742092458
4.0,0.6999473129610115,0.13737297704177642,0.8626270229582236,0.6996838777660696,0.08923192771084343,0.9107680722891566
4.0,0.75,0.14822620302072353,0.8517737969792765,0.7497365648050579,0.10154602951510894,0.8984539704848911
4.0,0.8000526870389885,0.157062891010866,0.842937108989134,0.7995258166491043,0.12125205930807248,0.8787479406919275
4.0,0.8498419388830347,0.16522008679479228,0.8347799132052077,0.8495785036880927,0.13798449612403096,0.862015503875969
4.0,0.8998946259220232,0.17652224824355967,0.8234777517564403,0.8996311907270811,0.15549048316251834,0.8445095168374817
4.0,0.9499473129610115,0.18996117581808103,0.810038824181919,0.9496838777660696,0.17281553398058247,0.8271844660194175
4.0,0.9997365648050579,0.20052700922266142,0.7994729907773386,0.9997365648050579,0.1960474308300395,0.8039525691699605
5.0,0.5,0.09799789251844049,0.9020021074815595,0.49973656480505796,0.044280442804428,0.955719557195572
5.0,0.5500526870389885,0.11206896551724133,0.8879310344827587,0.5495258166491043,0.056567593480345124,0.9434324065196549
5.0,0.5998419388830347,0.12033377250768551,0.8796662274923145,0.5995785036880927,0.06414762741652025,0.9358523725834798
5.0,0.6498946259220232,0.13214430482367245,0.8678556951763275,0.6496311907270811,0.08150851581508511,0.9184914841849149
5.0,0.6999473129610115,0.14038389160707565,0.8596161083929243,0.6996838777660696,0.0899849397590361,0.9100150602409639
5.0,0.75,0.14471373375482965,0.8552862662451703,0.7497365648050579,0.10260014054813771,0.8973998594518623
5.0,0.7997892518440464,0.15316205533596838,0.8468379446640316,0.7995258166491043,0.11696869851729819,0.8830313014827018
5.0,0.8498419388830347,0.15964042157470548,0.8403595784252945,0.8495785036880927,0.13612403100775194,0.8638759689922481
5.0,0.8998946259220232,0.16832552693208436,0.8316744730679156,0.8996311907270811,0.15168374816983898,0.848316251830161
5.0,0.9499473129610115,0.1797004991680532,0.8202995008319468,0.9496838777660696,0.1753120665742025,0.8246879334257975
5.0,0.9997365648050579,0.19051383399209487,0.8094861660079051,0.9997365648050579,0.1960474308300395,0.8039525691699605
6.0,0.5,0.10379346680716539,0.8962065331928346,0.49973656480505796,0.046389035318924576,0.9536109646810754
6.0,0.5500526870389885,0.11159003831417624,0.8884099616858238,0.5495258166491043,0.052732502396931946,0.947267497603068
6.0,0.5998419388830347,0.12252964426877466,0.8774703557312253,0.5995785036880927,0.062390158172232035,0.937609841827768
6.0,0.6498946259220232,0.12930685042561818,0.8706931495743818,0.6496311907270811,0.07258718572587186,0.9274128142741281
6.0,0.6999473129610115,0.13963116296575084,0.8603688370342492,0.6996838777660696,0.08283132530120485,0.9171686746987951
6.0,0.75,0.1492799438004917,0.8507200561995083,0.7497365648050579,0.0959241040056219,0.9040758959943781
6.0,0.7997892518440464,0.15645586297760206,0.8435441370223979,0.7995258166491043,0.11004942339373969,0.8899505766062603
6.0,0.8498419388830347,0.16305021698698074,0.8369497830130193,0.8495785036880927,0.12682170542635662,0.8731782945736434
6.0,0.8998946259220232,0.17154566744730682,0.8284543325526932,0.8996311907270811,0.14524158125915076,0.8547584187408492
6.0,0.9499473129610115,0.177759290072102,0.822240709927898,0.9496838777660696,0.16754507628294035,0.8324549237170596
6.0,0.9997365648050579,0.18682476943346504,0.813175230566535,0.9997365648050579,0.18919631093544143,0.8108036890645586
