model_no,auxilary_head_accuracy,selective_head_accuracy,selective_head_selective_acc,loss,auxilary_head_loss,selective_head_loss,auxilary_head_coverage,selective_head_coverage,val_auxilary_head_accuracy,val_selective_head_accuracy,val_selective_head_selective_acc,val_loss,val_auxilary_head_loss,val_selective_head_loss,val_auxilary_head_coverage,val_selective_head_coverage
1.0,0.7270863652229309,0.5792093873023987,0.580777108669281,0.6289934515953064,0.6510608792304993,0.6069257855415344,0.4166243374347687,0.9862733483314514,0.5972808003425598,0.05485232174396515,0.9972015023231506,0.6191329956054688,0.7054756283760071,0.53279048204422,0.011660447344183922,1.0
1.0,0.8017569780349731,0.6553440690040588,0.6051655411720276,0.39491167664527893,0.4555850625038147,0.3342384994029999,0.3916853070259094,1.0,0.6277543306350708,0.36849507689476013,0.9414312243461609,0.6015724539756775,0.6941471099853516,0.5089979767799377,0.04757462814450264,1.0
1.0,0.8383601903915405,0.7376281023025513,0.6204033493995667,0.31526991724967957,0.3697546124458313,0.260785311460495,0.3829870820045471,1.0,0.7257384061813354,0.5466479063034058,0.8142324090003967,0.49608832597732544,0.5647619366645813,0.4274149239063263,0.19816097617149353,1.0
1.0,0.8661786317825317,0.7838945984840393,0.6124669909477234,0.27425047755241394,0.3258955776691437,0.22260546684265137,0.3860727548599243,1.0,0.7721518874168396,0.66713547706604,0.7710998058319092,0.5073868036270142,0.5872235298156738,0.4275505542755127,0.22234807908535004,1.0
1.0,0.8945827484130859,0.837481677532196,0.612695574760437,0.21637789905071259,0.25953933596611023,0.17321652173995972,0.3856664001941681,1.0,0.8120018839836121,0.730895459651947,0.6842795014381409,0.40215903520584106,0.4651624262332916,0.3391556441783905,0.3171197772026062,1.0
1.0,0.8008784651756287,0.69838947057724,0.6255772113800049,0.37348172068595886,0.444550484418869,0.30241304636001587,0.37328577041625977,0.9993016123771667,0.8321612477302551,0.7224566340446472,0.6688432693481445,0.3303748369216919,0.37927761673927307,0.2814720869064331,0.32524874806404114,0.9992892146110535
1.0,0.852122962474823,0.7756954431533813,0.6287743449211121,0.27988559007644653,0.33808955550193787,0.22168157994747162,0.37299370765686035,0.9963810443878174,0.8223159909248352,0.7749648094177246,0.708845853805542,0.38691267371177673,0.4239320456981659,0.34989333152770996,0.29213306307792664,0.9885616302490234
1.0,0.8775988221168518,0.8360175490379333,0.6229748129844666,0.230022594332695,0.2809932827949524,0.17905184626579285,0.38122206926345825,0.9856892228126526,0.8368495106697083,0.7955930829048157,0.584213137626648,0.3510069251060486,0.3992823660373688,0.3027316629886627,0.41135838627815247,0.9836753606796265
1.0,0.8998535871505737,0.8617862462997437,0.6200836896896362,0.19547274708747864,0.24205467104911804,0.1488908976316452,0.3844981789588928,0.9672897458076477,0.8293483257293701,0.797468364238739,0.6717323064804077,0.3917328715324402,0.4444434642791748,0.33902227878570557,0.33040156960487366,0.9386327266693115
1.0,0.8225475549697876,0.7288433313369751,0.621570348739624,0.3316211700439453,0.39894047379493713,0.2643018364906311,0.38146334886550903,0.99737149477005,0.7824659943580627,0.7065166234970093,0.677499532699585,0.49982500076293945,0.4766342043876648,0.5230156183242798,0.28955668210983276,0.996268630027771
1.0,0.8477305769920349,0.7815519571304321,0.635262131690979,0.28763675689697266,0.3517482578754425,0.22352537512779236,0.3687271475791931,0.9838226437568665,0.8152836561203003,0.7505860328674316,0.6547739505767822,0.3625219166278839,0.40288403630256653,0.32215988636016846,0.3759106397628784,0.9761905074119568
1.0,0.886383593082428,0.8442167043685913,0.6276269555091858,0.22516344487667084,0.2779655456542969,0.17236128449440002,0.3773745596408844,0.9638485312461853,0.8284106850624084,0.7838724851608276,0.6904459595680237,0.3538677394390106,0.39169690012931824,0.3160383701324463,0.2821384370326996,0.9300373196601868
1.0,0.9121522903442383,0.8816983699798584,0.6305429339408875,0.1728067249059677,0.21597611904144287,0.12963727116584778,0.3806379437446594,0.9330048561096191,0.8312236070632935,0.8054383397102356,0.6060957908630371,0.3695935010910034,0.44721904397010803,0.2919679582118988,0.4195095896720886,0.9370113611221313
1.0,0.920644223690033,0.9013177156448364,0.6255512237548828,0.1516682207584381,0.1922556459903717,0.11108071357011795,0.3880663216114044,0.9068975448608398,0.8373183012008667,0.8185654282569885,0.5714542865753174,0.43169844150543213,0.4853052496910095,0.3780915439128876,0.44447407126426697,0.8649609088897705
1.0,0.8172767162322998,0.7209370136260986,0.6207966804504395,0.3465782105922699,0.4201882481575012,0.2729682922363281,0.3743396997451782,0.8930566906929016,0.8570089340209961,0.7744960188865662,0.6944330930709839,0.3070373237133026,0.35543182492256165,0.2586427628993988,0.3012615740299225,0.9323694109916687
1.0,0.8661786317825317,0.8105417490005493,0.632576584815979,0.24659526348114014,0.30649539828300476,0.18669500946998596,0.3700731694698334,0.8866314888000488,0.8434130549430847,0.7913736701011658,0.5804660320281982,0.3047748804092407,0.35270169377326965,0.25684791803359985,0.4241737723350525,0.8644722700119019
1.0,0.8969253301620483,0.8682283759117126,0.6236647963523865,0.18592113256454468,0.23564323782920837,0.13619893789291382,0.38496801257133484,0.8635590672492981,0.8631036281585693,0.8176277279853821,0.6105733513832092,0.3267821967601776,0.3890617787837982,0.2645024061203003,0.3726235032081604,0.943785548210144
1.0,0.920644223690033,0.8945827484130859,0.6278903484344482,0.1554774045944214,0.1972988098859787,0.11365596950054169,0.38093000650405884,0.8528164029121399,0.8420065641403198,0.8204407095909119,0.5947631597518921,0.33183589577674866,0.40153905749320984,0.2621326446533203,0.4398098886013031,0.8455712795257568
1.0,0.9379209280014038,0.9235724806785583,0.6152383685112,0.11945530027151108,0.15571504831314087,0.08319563418626785,0.3943138122558594,0.8385056853294373,0.8340365886688232,0.8026254177093506,0.5828739404678345,0.4173395037651062,0.49845921993255615,0.3362198770046234,0.4173996150493622,0.8719127774238586
1.0,0.8408891558647156,0.7744954824447632,0.6241839528083801,0.2946203649044037,0.3609706163406372,0.22827014327049255,0.37484854459762573,0.8681204319000244,0.8687294721603394,0.8120018839836121,0.6348553895950317,0.25264373421669006,0.3057572543621063,0.1995302140712738,0.34439411759376526,0.881729781627655
